"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"'Listing data' functions - These tests covers the verification of data listing functions.","Listing data' functions","","0","0","1","0","0"
"'Saving data' functions - These tests covers the verification of saving data from pages.","'Saving data' functions","Saving text - User is saving the text of 'November blog' to blogNovember.txt.","0","0","1","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","'Registration' function","Empty credentials - User registers a new user with empty credentials.","1","0","0","0","0"
"'Saving data' functions - These tests covers the verification of saving data from pages.","'Saving data' functions","Saving text - User is saving the text of 'Colour of the year 2020 blog' to blogColourOfTheYear2020.txt.","0","0","1","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","'Registration' function","Correct credentials - User registers a new user with correct credentials.","0","0","1","0","0"
"'Data modification' functions - These tests covers the verification of 'data modification' functions.","Edit profile","Edit profile - User changes personal information.","0","0","1","0","0"
"'Saving data' functions - These tests covers the verification of saving data from pages.","'Saving data' functions","Saving text - User is saving the text of 'December blog' to blogDecember.txt.","0","0","1","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/profile URL.","0","0","1","0","0"
"'Logout' functions - These tests covers the verification of 'logout' function.","'Terms and conditions' functions","Logout - User clicks on 'Logout' button.","1","0","0","0","0"
"'Logout' functions - These tests covers the verification of 'logout' function.","'Logout' function","Logout - User clicks on 'Logout' button.","1","0","0","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/landing.html URL.","1","0","0","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","'Terms and conditions' functions","Close - Terms and conditions window is displayed and can be closed by user with button 'X'.","0","0","1","0","0"
"'Registration' functions - These tests covers the verifications of registration related features and page behaviours.","'Registration' function","Register tab - By clicking on 'Register' tab, the tab switches to register tab.","0","0","1","0","0"
"'-Register' and '-Login' functions - These tests covers the verification of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","Serial data input from file","Multiple valid users register - User registers multiple accounts from valid credentials stored in a file.","0","0","1","0","0"
"'-Register' and '-Login' functions - These tests covers the verification of features accessible directly from https://lennertamas.github.io/roxo/index.html url. Also verifies the url is correct.","'Registration' function","Multiple valid users register - User registers multiple accounts from valid credentials stored in a file.","0","0","1","0","0"
"'Terms and conditions' functions - These tests covers the verification of 'Terms and conditions' functions.","'Terms and conditions' functions","Accept - Terms and conditions window is displayed and can be accepted by user.","0","0","1","0","0"
"'Checking URL' functions - These tests covers the verification of the correct URL is loaded after navigation to the requested page.","Check URL","URL check - User navigates to https://lennertamas.github.io/roxo/contact/ URL.","0","0","1","0","0"
